Objectid ;Straat ;Type_en_merk ;Aantal ;geo_shape;geo_point_2d
1982;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.484278762081437, 51.444751232520986]}";51.4447512325,5.48427876208
1983;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.484283674068949, 51.444727471375224]}";51.4447274714,5.48428367407
1985;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.484295133443662, 51.44467788931402]}";51.4446778893,5.48429513344
1993;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.484331105178988, 51.444494014077584]}";51.4444940141,5.48433110518
2003;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.484745705783439, 51.4443759159041]}";51.4443759159,5.48474570578
2004;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.484739169761119, 51.44440691430844]}";51.4444069143,5.48473916976
2006;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.484727707585532, 51.44446165591197]}";51.4444616559,5.48472770759
2007;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.484721160489042, 51.44448748584011]}";51.4444874858,5.48472116049
2009;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.484711343627443, 51.44453810026487]}";51.4445381003,5.48471134363
2242;Fuutlaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.489692510908929, 51.44292704367604]}";51.4429270437,5.48969251091
2245;Fuutlaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.489432234570606, 51.44289309756326]}";51.4428930976,5.48943223457
2246;Fuutlaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.489342711896265, 51.44288074479839]}";51.4428807448,5.4893427119
2247;Fuutlaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.489266455600187, 51.442870456719426]}";51.4428704567,5.4892664556
2248;Fuutlaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.488654702252102, 51.44278502371953]}";51.4427850237,5.48865470225
2524;Eindje;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.472388585076226, 51.44277601336056]}";51.4427760134,5.47238858508
2525;Eindje;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.47242590613619, 51.44278137025148]}";51.4427813703,5.47242590614
2532;Aalsterweg;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.486493241250276, 51.428697533902536]}";51.4286975339,5.48649324125
2534;Aalsterweg;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.486540160009441, 51.428604919462664]}";51.4286049195,5.48654016001
2537;Aalsterweg;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.486570258155709, 51.42868531550327]}";51.4286853155,5.48657025816
2784;Aalsterweg;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.486383288152167, 51.42626645006804]}";51.4262664501,5.48638328815
2786;Gagelstraat;Parkeerplaats Gehandicapten;1.0;"{""type"": ""Point"", ""coordinates"": [5.470616535775758, 51.44053129805279]}";51.4405312981,5.47061653578
2787;Ventoselaan;Parkeerplaats Gehandicapten;1.0;"{""type"": ""Point"", ""coordinates"": [5.469524839990412, 51.44108613701317]}";51.441086137,5.46952483999
2796;Pastoor Harkxplein;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.486995810467014, 51.42984236095536]}";51.429842361,5.48699581047
2798;Pastoor Harkxplein;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.487054465389738, 51.42984932183853]}";51.4298493218,5.48705446539
2799;Pastoor Harkxplein;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.487077763714798, 51.429850919818186]}";51.4298509198,5.48707776371
2821;Pastoor Harkxplein;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.487009316258689, 51.429705955152116]}";51.4297059552,5.48700931626
2822;Pastoor Harkxplein;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.487028289836234, 51.429709174811116]}";51.4297091748,5.48702828984
2823;Pastoor Harkxplein;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.487071420875374, 51.4297123647602]}";51.4297123648,5.48707142088
2826;Pastoor Harkxplein;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.487177522918898, 51.4297235994412]}";51.4297235994,5.48717752292
2827;Pastoor Harkxplein;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.4872206504531, 51.42972518036444]}";51.4297251804,5.48722065045
2832;Pastoor Harkxplein;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.487097554051296, 51.42983310525471]}";51.4298331053,5.48709755405
1773;Veldmaarschalk Montgomerylaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.477214535031213, 51.45091596945011]}";51.4509159695,5.47721453503
1778;Veldmaarschalk Montgomerylaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.47715016925511, 51.45057934877928]}";51.4505793488,5.47715016926
2014;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.48469012196602, 51.44465689429891]}";51.4446568943,5.48469012197
2019;Professor Dr Dorgelolaan;Parkeerplaats Afgekruist;1.0;"{""type"": ""Point"", ""coordinates"": [5.484752269463942, 51.44435112864605]}";51.4443511286,5.48475226946
2024;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.484559388151005, 51.44458470783408]}";51.4445847078,5.48455938815
2260;Fuutlaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.488245218799229, 51.442734629762185]}";51.4427346298,5.4882452188
2262;Fuutlaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.488100996728365, 51.442716112329094]}";51.4427161123,5.48810099673
2263;Fuutlaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.488003173168629, 51.44270273203202]}";51.442702732,5.48800317317
2269;Fuutlaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.487532346835175, 51.442639966320804]}";51.4426399663,5.48753234684
2271;Fuutlaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.48735828481995, 51.44261732990168]}";51.4426173299,5.48735828482
2274;Fuutlaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.487136132836502, 51.44258541325787]}";51.4425854133,5.48713613284
2277;Fuutlaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.486917293890186, 51.44255556074761]}";51.4425555607,5.48691729389
2280;Fuutlaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.486703434195263, 51.44252674625719]}";51.4425267463,5.4867034342
2282;Fuutlaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.486537660166376, 51.4425051352272]}";51.4425051352,5.48653766017
2285;Fuutlaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.486302245490509, 51.44247219461249]}";51.4424721946,5.48630224549
2287;Stationsweg;Parkeerplaats Vergunning;1.0;"{""type"": ""Point"", ""coordinates"": [5.483455371176654, 51.44226561438373]}";51.4422656144,5.48345537118
2289;Stationsweg;Parkeerplaats Vergunning;1.0;"{""type"": ""Point"", ""coordinates"": [5.483390362927809, 51.44225429744334]}";51.4422542974,5.48339036293
2290;Stationsweg;Parkeerplaats Vergunning;1.0;"{""type"": ""Point"", ""coordinates"": [5.483351359228395, 51.44224945780201]}";51.4422494578,5.48335135923
2292;Stationsweg;Parkeerplaats Vergunning;1.0;"{""type"": ""Point"", ""coordinates"": [5.483294135859896, 51.44223975233914]}";51.4422397523,5.48329413586
2293;Stationsweg;Parkeerplaats Vergunning;1.0;"{""type"": ""Point"", ""coordinates"": [5.48326034240206, 51.44223653531611]}";51.4422365353,5.4832603424
2538;Aalsterweg;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.486597083254254, 51.42863619643443]}";51.4286361964,5.48659708325
2541;Aalsterweg;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.486663294384565, 51.42847576385715]}";51.4284757639,5.48666329438
2546;Aalsterweg;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.486637306535964, 51.42803829798006]}";51.428038298,5.48663730654
2548;Aalsterweg;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.486714135056074, 51.428203857772836]}";51.4282038578,5.48671413506
2550;Aalsterweg;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.48671712057264, 51.428089402350246]}";51.4280894024,5.48671712057
2556;Eindje;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.472269648557889, 51.44260706843753]}";51.4426070684,5.47226964856
2558;Eindje;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.47228545193928, 51.44256628428496]}";51.4425662843,5.47228545194
2572;Eindje;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.472520183166593, 51.442661994583375]}";51.4426619946,5.47252018317
1787;Veldmaarschalk Montgomerylaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.477050910346495, 51.45004870771048]}";51.4500487077,5.47705091035
1790;Veldmaarschalk Montgomerylaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.477021378495043, 51.44987458410959]}";51.4498745841,5.4770213785
1791;Veldmaarschalk Montgomerylaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.477010667079265, 51.44982650301686]}";51.449826503,5.47701066708
1792;Veldmaarschalk Montgomerylaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.476999939335796, 51.44977011640945]}";51.4497701164,5.47699993934
1795;Veldmaarschalk Montgomerylaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.476967753045867, 51.44959932064545]}";51.4495993206,5.47696775305
1800;Veldmaarschalk Montgomerylaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.476908718831802, 51.449272646156224]}";51.4492726462,5.47690871883
1802;Veldmaarschalk Montgomerylaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.476889953251459, 51.44918144364165]}";51.4491814436,5.47688995325
1809;Veldmaarschalk Montgomerylaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.476820205873973, 51.44880501610145]}";51.4488050161,5.47682020587
2027;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.48457247711167, 51.444523762705856]}";51.4445237627,5.48457247711
2035;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.484465295311269, 51.44464262855768]}";51.4446426286,5.48446529531
2037;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.48447513008475, 51.444600274725104]}";51.4446002747,5.48447513008
2040;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.48448821914359, 51.44453932061759]}";51.4445393206,5.48448821914
2044;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.484504565856122, 51.44445461572412]}";51.4444546157,5.48450456586
2045;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.484512783831628, 51.4444298181084]}";51.4444298181,5.48451278383
2046;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.484516029332095, 51.44440710103077]}";51.444407101,5.48451602933
2053;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.484413248893743, 51.44426258618411]}";51.4442625862,5.48441324889
2055;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.484487650827907, 51.44427285201819]}";51.444272852,5.48448765083
2297;Stationsweg;Parkeerplaats Vergunning;1.0;"{""type"": ""Point"", ""coordinates"": [5.483135510964328, 51.44221714181906]}";51.4422171418,5.48313551096
2300;Stationsweg;Parkeerplaats Vergunning;1.0;"{""type"": ""Point"", ""coordinates"": [5.483044512065334, 51.44220584609916]}";51.4422058461,5.48304451207
2301;Stationsweg;Parkeerplaats Vergunning;1.0;"{""type"": ""Point"", ""coordinates"": [5.483015893255897, 51.44220099779614]}";51.4422009978,5.48301589326
2304;Stationsweg;Parkeerplaats Vergunning;1.0;"{""type"": ""Point"", ""coordinates"": [5.4835645797062025, 51.442276894712776]}";51.4422768947,5.48356457971
2312;Stationsweg;Parkeerplaats Vergunning;1.0;"{""type"": ""Point"", ""coordinates"": [5.483876634648926, 51.4423205007231]}";51.4423205007,5.48387663465
2314;Stationsweg;Parkeerplaats Vergunning;1.0;"{""type"": ""Point"", ""coordinates"": [5.483954642308443, 51.442330188629846]}";51.4423301886,5.48395464231
2315;Stationsweg;Parkeerplaats Vergunning;1.0;"{""type"": ""Point"", ""coordinates"": [5.483985846866098, 51.44233340760384]}";51.4423334076,5.48398584687
2317;Stationsweg;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.483918978960168, 51.442673001171784]}";51.4426730012,5.48391897896
2577;Eindje;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.472403834760517, 51.44268522563438]}";51.4426852256,5.47240383476
