Adres;X_coordina;Y_coordina;Locatie;Parkeerreg;Lat;Lon;Locatie1
Firmamentlaan;162638.2796;386602.3187;Active locatie;vrij parkeren;51.4684311746;5.49712715213;51.4684311746,5.49712715213
Melati van Javalaan;161625.5688;381446.5216;Active locatie;vrij parkeren;51.422100343;5.48245568043;51.422100343,5.48245568043
Eratolaan;162684.4623;386036.4323;Active locatie;vrij parkeren;51.4633439977;5.49777945324;51.4633439977,5.49777945324
De Jonghlaan;160310.1862;383761.0636;Active locatie;vrij parkeren;51.4429189325;5.46357917643;51.4429189325,5.46357917643
Schalmstraat;162199.4637;382430.0206;Active locatie;vrij parkeren;51.4309336425;5.49072666312;51.4309336425,5.49072666312
Ambonplein;163883.4773;384310.4807;Active locatie;vrij parkeren;51.4478123897;5.51498985179;51.4478123897,5.51498985179
Bekerakker;161744.3313;386732.7199;Active locatie;vrij parkeren;51.4696147345;5.48426422535;51.4696147345,5.48426422535
Beverloweg;161063.7368;388140.416;Active locatie;vrij parkeren;51.4822757552;5.47449331718;51.4822757552,5.47449331718
Peckiuslaan;158104.0046;383751.2402;Active locatie;vrij parkeren;51.4428471493;5.43184621486;51.4428471493,5.43184621486
Penelopestraat;161912.4515;385455.1321;Active locatie;vrij parkeren;51.458128915;5.48665875655;51.458128915,5.48665875655
van Ennettenstraat;162924.4278;381755.7339;Active locatie;vrij parkeren;51.4248629728;5.501136379;51.4248629728,5.501136379
van Norenburchstraat;160545.6446;385573.9954;Active locatie;vrij parkeren;51.4592124733;5.4669944177;51.4592124733,5.4669944177
Jan de Oudestraat;160361.4753;383089.4883;Active locatie;betaald parkeren;51.4368818831;5.46430669817;51.4368818831,5.46430669817
Johan Vestersstraat 54;161723.9676;381517.5013;Active locatie;vrij parkeren;51.42273719;5.48387171761;51.42273719,5.48387171761
Minckerlersplein 17;159975.4987;385268.6242;Active locatie;vrij parkeren;51.4564729352;5.45878641156;51.4564729352,5.45878641156
Chopinlaan 72;159539.1749;381803.2967;Active locatie;vrij parkeren;51.4253279666;5.4524640696;51.4253279666,5.4524640696
Boerhavelaan 21;162045.2267;380743.19;Active locatie;vrij parkeren;51.4157732333;5.48847507811;51.4157732333,5.48847507811
Twickel 2;158366.4213;380710.251;Active locatie;vrij parkeren;51.4155111683;5.43559171635;51.4155111683,5.43559171635
Generaal Marshallweg 63;161609.5058;386037.4381;Active locatie;vrij parkeren;51.4633666975;5.48231076394;51.4633666975,5.48231076394
Willem de Rijkelaan 19;159966.4059;383253.0738;Active locatie;vrij parkeren;51.4383559249;5.45862722279;51.4383559249,5.45862722279
Transformatorstraat 36;163672.3506;383907.6744;Active locatie;vrij parkeren;51.4441949988;5.51194285422;51.4441949988,5.51194285422
Woenselsestraat 327;160887.5942;385882.6031;Active locatie;vrij parkeren;51.4619829622;5.47191980599;51.4619829622,5.47191980599
Holstraat 165;160389.3769;381027.5067;Active locatie;vrij parkeren;51.418347142;5.46467648456;51.418347142,5.46467648456
Alsacelaan 28;158821.8503;388083.8897;Active locatie;vrij parkeren;51.4817873973;5.44221837133;51.4817873973,5.44221837133
Lassusstraat 88;159888.3084;381343.2712;Active locatie;vrij parkeren;51.4211900213;5.45747756324;51.4211900213,5.45747756324
Noord Brabantlaan 33;158602.5789;383623.636;Active locatie;vrij parkeren;51.4416971789;5.43901620003;51.4416971789,5.43901620003
Bagelaarstraat 26;163270.7631;383139.7659;Active locatie;vrij parkeren;51.4372985822;5.50614840698;51.4372985822,5.50614840698
't Hofke 22;164262.9114;384341.6957;Active locatie;vrij parkeren;51.4480868546;5.52044888954;51.4480868546,5.52044888954
