Adres;X_coordina;Y_coordina;Locatie;Parkeerreg;Lat;Lon;Locatie1
Graskarper;157014.022;383235.586;Active locatie;vrij parkeren;51.4382170818;5.41616542567;51.4382170818,5.41616542567
Wegastraat;162179.4185;387026.4315;Active locatie;vrij parkeren;51.472249415;5.4905320146;51.472249415,5.4905320146
Plaggenstraat;159123.9971;384388.662;Active locatie;vrij parkeren;51.4485701532;5.44652481178;51.4485701532,5.44652481178
Bakhuizen van den Brinklaan;159987.1591;386828.7469;Active locatie;vrij parkeren;51.4704962236;5.45897625204;51.4704962236,5.45897625204
Grasplantsoen;156861.676;382761.804;Active locatie;vrij parkeren;51.4339589375;5.41397187358;51.4339589375,5.41397187358
Generaal Bothastraat;163847.3451;383539.9288;Active locatie;vrij parkeren;51.4408867407;5.51445075038;51.4408867407,5.51445075038
Halvemaanstraat;159123.1642;384485.688;Active locatie;vrij parkeren;51.449442293;5.44651396331;51.449442293,5.44651396331
Remuslaan;162492.0985;386180.5244;Active locatie;vrij parkeren;51.4646417844;5.49501438785;51.4646417844,5.49501438785
Torenberglaan;160636.9101;388252.0968;Active locatie;vrij parkeren;51.4832840583;5.46835048448;51.4832840583,5.46835048448
Airbornelaan;162912.6807;387324.065;Active locatie;vrij parkeren;51.4749148945;5.5010924669;51.4749148945,5.5010924669
Amundsenlaan;161335.7248;385095.7876;Active locatie;vrij parkeren;51.4549056861;5.47835410743;51.4549056861,5.47835410743
De Genestetlaan;161480.2475;381987.5372;Active locatie;vrij parkeren;51.426965044;5.48037632442;51.426965044,5.48037632442
Rode Kruislaan;160763.6988;387967.6161;Active locatie;vrij parkeren;51.4807256783;5.47017112081;51.4807256783,5.47017112081
Schubertlaan;159410.9443;381603.4831;Active locatie;vrij parkeren;51.4235329266;5.45061786438;51.4235329266,5.45061786438
Vuurvogel 27;161457.8098;388833.5416;Active locatie;vrij parkeren;51.488501617;5.48017915222;51.488501617,5.48017915222
Veldmaarschalk Montgomerylaan 340;161286.8562;385527.3633;Active locatie;vrij parkeren;51.458785516;5.47765870971;51.458785516,5.47765870971
Sint Servaasweg 60;162444.5194;381998.0778;Active locatie;vrij parkeren;51.4270478686;5.49424140939;51.4270478686,5.49424140939
Anjelierstraat 4a;161999.997;381566.9656;Active locatie;vrij parkeren;51.4231784456;5.48784124267;51.4231784456,5.48784124267
Geert Grootestraat 72;163394.9905;381820.1715;Active locatie;vrij parkeren;51.4254353634;5.50790361863;51.4254353634,5.50790361863
Frederika van Pruisenweg 38;160562.1636;382932.9825;Active locatie;betaald parkeren;51.435473157;5.46719047436;51.435473157,5.46719047436
Van Maanenstraat 2;158327.2005;384037.0469;Active locatie;vrij parkeren;51.4454148905;5.43505926425;51.4454148905,5.43505926425
Bosruiter 2;156887.9583;384263.7521;Active locatie;vrij parkeren;51.4474593677;5.41435785438;51.4474593677,5.41435785438
Aalsterweg 267;161671.9414;380563.1701;Active locatie;vrij parkeren;51.4141596368;5.48310567612;51.4141596368,5.48310567612
Willem Schorerstraat 13;158415.0563;384053.4662;Active locatie;vrij parkeren;51.4455619503;5.43632317577;51.4455619503,5.43632317577
Urkhovenseweg 388;164722.6209;384042.9945;Active locatie;vrij parkeren;51.4453941849;5.52705367953;51.4453941849,5.52705367953
Elckerlyclaan 71;160560.1693;387270.7158;Active locatie;vrij parkeren;51.4744635447;5.4672301852;51.4744635447,5.4672301852
Koning Arthurlaan 88;160846.201;386826.4759;Active locatie;vrij parkeren;51.4704675296;5.47133983384;51.4704675296,5.47133983384
Il Corsaro 1;161030.8561;389122.6354;Active locatie;vrij parkeren;51.4911049196;5.47403682145;51.4911049196,5.47403682145
Oude Bossche Baan 20;159345.28;387203.7738;Active locatie;vrij parkeren;51.4738725398;5.44974273976;51.4738725398,5.44974273976
Orleanshof 46;159225.477;388421.3467;Active locatie;vrij parkeren;51.4848177814;5.448032997;51.4848177814,5.448032997
De Stoutheuvel;162265.6347;387636.6377;Vergunning;vrij parkeren;51.4777332279;5.49178551162;51.4777332279,5.49178551162
Hagenkampweg Zuid;160571.0616;382651.8341;Vergunning;betaald parkeren;51.4329459205;5.46731400195;51.4329459205,5.46731400195
Casandraplein;162129.5992;385696.8831;Active locatie;vrij parkeren;51.460299218;5.48978806108;51.460299218,5.48978806108
Akkerstraat 41;161027.2322;382583.4381;Active locatie;betaald parkeren;51.4323264311;5.4738727833;51.4323264311,5.4738727833
Judas Taddeusplein 2;160342.5428;385957.3087;Active locatie;vrij parkeren;51.4626599083;5.46407784107;51.4626599083,5.46407784107
Ireneplein 1;160336.3867;382333.677;Active locatie;vrij parkeren;51.4300883861;5.46393445468;51.4300883861,5.46393445468
Burghplein 9;162433.4459;382265.0451;Active locatie;vrij parkeren;51.4294476938;5.49408781272;51.4294476938,5.49408781272
Anthony van Opbergenstraat 22;159724.1971;386223.1959;Active locatie;vrij parkeren;51.4650554136;5.45518349674;51.4650554136,5.45518349674
Lodewijk Napoleonlaan 21;160592.9686;383140.3387;Active locatie;betaald parkeren;51.4373367065;5.46763677517;51.4373367065,5.46763677517
Fagotstraat 2;164322.075;382859.532;Active locatie;vrij parkeren;51.4347632337;5.52126078366;51.4347632337,5.52126078366
Tivolilaan 4;163245.9168;381621.9907;Active locatie;vrij parkeren;51.4236561852;5.50575559121;51.4236561852,5.50575559121
Kalmoesplein 77;163135.4569;381190.0569;Active locatie;vrij parkeren;51.4197752821;5.50415748644;51.4197752821,5.50415748644
Laagstraat 339;160111.7617;381669.4926;Active locatie;vrij parkeren;51.4241203354;5.46069482512;51.4241203354,5.46069482512
Messiaenpark 80;159118.8832;381339.4012;Active locatie;vrij parkeren;51.4211613931;5.4464156734;51.4211613931,5.4464156734
Milaanstraat 1;162973.1611;388108.3156;Vergunning;vrij parkeren;51.4819633788;5.50198077672;51.4819633788,5.50198077672
Sint Adelbertuslaan 1;162760.3903;381896.6372;Active locatie;vrij parkeren;51.4261317893;5.49878096158;51.4261317893,5.49878096158
Zandschuit 79;156604.2088;384558.6959;Active locatie;vrij parkeren;51.4501114069;5.41027745008;51.4501114069,5.41027745008
Raatven 27;163591.6051;381120.2053;Active locatie;vrij parkeren;51.4191406366;5.51071350594;51.4191406366,5.51071350594
