Objectid ;Straat ;Type_en_merk ;Aantal ;Lon;Lat;geo_point_2d
11448;Niet ingevuld;Parkeerplaats;1;5,485755763;51,43926907;"51,4392690735;5,48575576295"
11453;Niet ingevuld;Parkeerplaats;1;5,485610528;51,43928418;"51,4392841751;5,48561052802"
11456;Niet ingevuld;Parkeerplaats;1;5,485592774;51,43921679;"51,4392167867;5,48559277415"
11458;Niet ingevuld;Parkeerplaats;1;5,486286711;51,43893726;"51,4389372608;5,48628671112"
11460;Niet ingevuld;Parkeerplaats;1;5,486307727;51,4390427;"51,4390427044;5,48630772712"
11462;Niet ingevuld;Parkeerplaats;1;5,486319937;51,43959675;"51,4395967477;5,48631993666"
11463;Niet ingevuld;Parkeerplaats;1;5,486283992;51,43959953;"51,4395995288;5,48628399196"
11472;Niet ingevuld;Parkeerplaats;1;5,485755877;51,44000073;"51,4400007299;5,485755877"
11477;Niet ingevuld;Parkeerplaats;1;5,485731194;51,43989605;"51,4398960543;5,48573119447"
11482;Niet ingevuld;Parkeerplaats;1;5,485322773;51,44017992;"51,4401799217;5,48532277293"
9951;Lichtstraat;Parkeerplaats;1;5,473245392;51,43945487;"51,4394548659;5,47324539183"
9954;Lichtstraat;Parkeerplaats;1;5,471661323;51,44004781;"51,4400478115;5,47166132269"
10208;Deken van Somerenstraat;Parkeerplaats;1;5,47450235;51,43390487;"51,4339048745;5,47450235038"
10210;Deken van Somerenstraat;Parkeerplaats;1;5,474562915;51,4338838;"51,4338837964;5,47456291501"
10219;Edenstraat;Parkeerplaats;1;5,477288309;51,43150413;"51,4315041311;5,47728830897"
10458;Alberdingk Thijmlaan;Parkeerplaats;1;5,483803013;51,42815101;"51,4281510138;5,48380301287"
10460;Alberdingk Thijmlaan;Parkeerplaats;1;5,483856044;51,42812442;"51,4281244208;5,48385604372"
10465;Alberdingk Thijmlaan;Parkeerplaats;1;5,483988619;51,42805794;"51,4280579383;5,48398861914"
10711;Hagenkampweg Zuid;Parkeerplaats;1;5,467205441;51,43202272;"51,4320227205;5,46720544106"
10713;Hagenkampweg Zuid;Parkeerplaats;1;5,467216326;51,43212687;"51,4321268658;5,4672163255"
10715;Hagenkampweg Zuid;Parkeerplaats;1;5,467227209;51,43223101;"51,432231011;5,46722720856"
10716;Hagenkampweg Zuid;Parkeerplaats;1;5,467232649;51,43228308;"51,4322830832;5,46723264939"
10717;Hagenkampweg Zuid;Parkeerplaats;1;5,467141246;51,43246374;"51,4324637411;5,46714124566"
10721;Hagenkampweg Zuid;Parkeerplaats;1;5,467293532;51,43305457;"51,4330545672;5,46729353219"
10729;Hagenkampweg Zuid;Parkeerplaats;1;5,467263653;51,43272318;"51,4327231825;5,46726365333"
9957;Lichtstraat;Parkeerplaats;1;5,471996237;51,44010068;"51,4401006848;5,4719962367"
9959;Lichtstraat;Parkeerplaats;1;5,472321436;51,44012191;"51,4401219088;5,47232143584"
9964;Lichtstraat;Parkeerplaats;1;5,473329907;51,440261;"51,440261001;5,47332990695"
9966;Lichtstraat;Parkeerplaats;1;5,473150649;51,44023766;"51,4402376604;5,47315064892"
10226;Edenstraat;Parkeerplaats;1;5,477588918;51,43125181;"51,4312518069;5,47758891826"
10234;Nicolaas Beetsstraat;Parkeerplaats;1;5,473085547;51,43033895;"51,4303389454;5,47308554726"
10238;Nicolaas Beetsstraat;Parkeerplaats;1;5,472956199;51,43017838;"51,4301783807;5,47295619933"
10242;Nicolaas Beetsstraat;Parkeerplaats;1;5,472554204;51,42985201;"51,4298520051;5,47255420447"
10244;Nicolaas Beetsstraat;Parkeerplaats;1;5,47262562;51,42993002;"51,4299300221;5,47262561979"
10471;Alberdingk Thijmlaan;Parkeerplaats;1;5,484285594;51,42812235;"51,4281223538;5,48428559399"
10476;Alberdingk Thijmlaan;Parkeerplaats;1;5,484181731;51,42803544;"51,4280354425;5,48418173101"
10479;Alberdingk Thijmlaan;Parkeerplaats;1;5,484119414;51,4279833;"51,4279832962;5,48411941398"
10499;Kwartelstraat;Parkeerplaats;1;5,491656802;51,43990338;"51,4399033817;5,49165680193"
10741;Snoekstraat;Parkeerplaats;1;5,467822474;51,43263068;"51,4326306798;5,46782247417"
10747;Snoekstraat;Parkeerplaats;1;5,46820652;51,43286594;"51,4328659434;5,46820652044"
10751;Snoekstraat;Parkeerplaats;1;5,468170909;51,43294011;"51,4329401086;5,46817090939"
10754;Snoekstraat;Parkeerplaats;1;5,467998455;51,43283412;"51,4328341198;5,46799845494"
101;Veldmaarschalk Montgomerylaan;Parkeerplaats;1;5,470836059;51,44557526;"51,4455752577;5,4708360586"
104;Veldmaarschalk Montgomerylaan;Parkeerplaats;1;5,470953417;51,44546332;"51,4454633183;5,47095341748"
108;Professor Dr Dorgelolaan;Parkeerplaats;1;5,484123657;51,44487324;"51,4448732391;5,48412365728"
111;Professor Dr Dorgelolaan;Parkeerplaats;1;5,484244332;51,44488243;"51,4448824329;5,48424433206"
114;Professor Dr Dorgelolaan;Parkeerplaats;1;5,484343529;51,44489061;"51,4448906107;5,48434352901"
115;Professor Dr Dorgelolaan;Parkeerplaats;1;5,484378245;51,44489368;"51,4448936828;5,4843782448"
116;Professor Dr Dorgelolaan;Parkeerplaats;1;5,484411304;51,44489572;"51,4448957226;5,48441130421"
120;Professor Dr Dorgelolaan;Parkeerplaats;1;5,484081769;51,44460164;"51,4446016364;5,48408176882"
129;Professor Dr Dorgelolaan;Parkeerplaats;1;5,48403595;51,4448227;"51,4448226969;5,48403594981"
130;Professor Dr Dorgelolaan;Parkeerplaats;1;5,484099792;51,44452726;"51,4445272582;5,48409979243"
132;Professor Dr Dorgelolaan;Parkeerplaats;1;5,484109598;51,44447767;"51,4444776685;5,48410959776"
146;Professor Dr Dorgelolaan;Parkeerplaats;1;5,484230658;51,44466864;"51,4446686398;5,48423065815"
147;Professor Dr Dorgelolaan;Parkeerplaats;1;5,484224115;51,44469654;"51,4446965371;5,48422411514"
150;Professor Dr Dorgelolaan;Parkeerplaats;1;5,484207727;51,44476885;"51,4447688466;5,48420772707"
153;Professor Dr Dorgelolaan;Parkeerplaats;1;5,484261762;51,44452918;"51,4445291816;5,48426176212"
158;Michelangelolaan;Parkeerplaats Afgekruist;1;5,473547801;51,46441104;"51,4644110397;5,47354780053"
164;Michelangelolaan;Parkeerplaats Vergunning;1;5,473016835;51,46439485;"51,4643948482;5,47301683503"
165;Michelangelolaan;Parkeerplaats Vergunning;1;5,47311487;51,46439861;"51,4643986051;5,47311486971"
173;Michelangelolaan;Parkeerplaats Vergunning;1;5,471597553;51,46436528;"51,4643652792;5,47159755316"
174;Michelangelolaan;Parkeerplaats Vergunning;1;5,471658815;51,4643665;"51,4643665022;5,47165881543"
176;Michelangelolaan;Parkeerplaats Vergunning;1;5,471801758;51,46436767;"51,4643676748;5,47180175764"
294;Luxemburglaan;Parkeerplaats;1;5,478446176;51,47230899;"51,4723089875;5,47844617605"
295;Luxemburglaan;Parkeerplaats;1;5,47848177;51,47230896;"51,4723089596;5,47848176972"
297;Luxemburglaan;Parkeerplaats;1;5,478565358;51,472306;"51,4723059997;5,47856535795"
307;Luxemburglaan;Parkeerplaats;1;5,478535622;51,47165965;"51,4716596491;5,4785356217"
313;Luxemburglaan;Parkeerplaats;1;5,478363937;51,4710154;"51,4710153961;5,478363937"
316;Luxemburglaan;Parkeerplaats;1;5,4784941;51,47101382;"51,47101382;5,47849409985"
317;Luxemburglaan;Parkeerplaats;1;5,478541416;51,47101083;"51,4710108256;5,47854141648"
321;Luxemburglaan;Parkeerplaats;1;5,47873309;51,47100772;"51,4710077179;5,47873308989"
322;Luxemburglaan;Parkeerplaats Gehandicapten;1;5,47769374;51,47076468;"51,4707646769;5,47769374033"
325;Luxemburglaan;Parkeerplaats;1;5,477696227;51,47082822;"51,4708282248;5,47769622692"
326;Luxemburglaan;Parkeerplaats;1;5,477698681;51,47086812;"51,4708681235;5,47769868093"
329;Luxemburglaan;Parkeerplaats;1;5,477705929;51,47094497;"51,4709449708;5,47770592909"
331;Winkelcentrum Woensel;Parkeerplaats;1;5,476872781;51,47028945;"51,4702894527;5,47687278087"
332;Winkelcentrum Woensel;Parkeerplaats;1;5,476841379;51,47029078;"51,4702907802;5,47684137948"
335;Winkelcentrum Woensel;Parkeerplaats;1;5,476738799;51,47029479;"51,4702947872;5,47673879906"
338;Winkelcentrum Woensel;Parkeerplaats;1;5,47663832;51,47029878;"51,4702987834;5,47663831987"
339;Winkelcentrum Woensel;Parkeerplaats;1;5,476604817;51,47030012;"51,4703001215;5,47660481722"
340;Winkelcentrum Woensel;Parkeerplaats;1;5,47658179;51,47030014;"51,4703001392;5,47658178957"
341;Winkelcentrum Woensel;Parkeerplaats;1;5,476556663;51,47030146;"51,4703014618;5,47655666321"
342;Winkelcentrum Woensel;Parkeerplaats;1;5,476525259;51,47030149;"51,4703014859;5,47652525926"
343;Winkelcentrum Woensel;Parkeerplaats Gehandicapten;1;5,477379428;51,47027991;"51,470279911;5,47737942842"
346;Winkelcentrum Woensel;Parkeerplaats;1;5,476985844;51,47028806;"51,4702880622;5,47698584401"
385;Winkelcentrum Woensel;Parkeerplaats;1;5,476571047;51,47015761;"51,4701576144;5,47657104679"
387;Winkelcentrum Woensel;Parkeerplaats;1;5,476640127;51,47015626;"51,470156258;5,47664012696"
388;Winkelcentrum Woensel;Parkeerplaats;1;5,476675719;51,47015623;"51,4701562306;5,47667571895"
391;Winkelcentrum Woensel;Parkeerplaats;1;5,476769925;51,47015354;"51,4701535425;5,47676992537"
392;Winkelcentrum Woensel;Parkeerplaats;1;5,476807619;51,47015351;"51,4701535135;5,47680761863"
402;Winkelcentrum Woensel;Parkeerplaats;1;5,477155147;51,4701454;"51,4701453985;5,47715514677"
403;Winkelcentrum Woensel;Parkeerplaats;1;5,477182357;51,47014276;"51,4701427618;5,47718235731"
406;Winkelcentrum Woensel;Parkeerplaats;1;5,477259816;51,4701427;"51,4701427019;5,47725981629"
409;Winkelcentrum Woensel;Parkeerplaats;1;5,476491221;51,47006633;"51,4700663329;5,47649122114"
411;Winkelcentrum Woensel;Parkeerplaats;1;5,47654974;51,47006629;"51,470066288;5,47654973985"
413;Winkelcentrum Woensel;Parkeerplaats;1;5,476624215;51,47006402;"51,4700640196;5,47662421518"
415;Winkelcentrum Woensel;Parkeerplaats;1;5,476689825;51,47006176;"51,470061758;5,47668982489"
420;Winkelcentrum Woensel;Parkeerplaats;1;5,47684766;51,47005942;"51,4700594164;5,47684765982"
426;Winkelcentrum Woensel;Parkeerplaats;1;5,477118964;51,47005034;"51,4700503445;5,47711896415"
435;Winkelcentrum Woensel;Parkeerplaats;1;5,476484019;51,47001207;"51,4700120739;5,47648401944"
440;Winkelcentrum Woensel;Parkeerplaats;1;5,476659569;51,47000861;"51,4700086134;5,47665956883"
442;Winkelcentrum Woensel;Parkeerplaats;1;5,476728736;51,47000745;"51,4700074546;5,47672873551"
352;Winkelcentrum Woensel;Parkeerplaats;1;5,477191013;51,47028398;"51,4702839758;5,47719101253"
356;Winkelcentrum Woensel;Parkeerplaats;1;5,476472742;51,47020608;"51,4702060757;5,4764727419"
357;Winkelcentrum Woensel;Parkeerplaats;1;5,476514606;51,47020473;"51,4702047312;5,47651460638"
359;Winkelcentrum Woensel;Parkeerplaats;1;5,476573226;51,47020469;"51,4702046863;5,47657322601"
360;Winkelcentrum Woensel;Parkeerplaats;1;5,476600439;51,47020336;"51,470203362;5,47660043919"
364;Winkelcentrum Woensel;Parkeerplaats;1;5,476749092;51,47020063;"51,4702006321;5,47674909159"
365;Winkelcentrum Woensel;Parkeerplaats;1;5,476788867;51,47019799;"51,4701979858;5,47678886662"
373;Winkelcentrum Woensel;Parkeerplaats;1;5,477040087;51,47019256;"51,4701925609;5,47704008736"
377;Winkelcentrum Woensel;Parkeerplaats;1;5,477163611;51,47018985;"51,4701898498;5,47716361084"
446;Winkelcentrum Woensel;Parkeerplaats;1;5,476854636;51,47000625;"51,4700062522;5,47685463618"
451;Winkelcentrum Woensel;Parkeerplaats;1;5,477040836;51,47000278;"51,4700027829;5,47704083573"
453;Winkelcentrum Woensel;Parkeerplaats;1;5,477113543;51,47000162;"51,4700016212;5,47711354287"
454;Winkelcentrum Woensel;Parkeerplaats;1;5,477145465;51,4700016;"51,4700015965;5,47714546473"
456;Winkelcentrum Woensel;Parkeerplaats;1;5,477209306;51,47000044;"51,4700004416;5,47720930628"
458;Winkelcentrum Woensel;Parkeerplaats;1;5,477283786;51,47000038;"51,470000384;5,47728378583"
489;Winkelcentrum Woensel;Parkeerplaats;1;5,4764802;51,46987695;"51,4698769504;5,47648019978"
493;Winkelcentrum Woensel;Parkeerplaats;1;5,47660434;51,46987354;"51,4698735384;5,47660433992"
494;Winkelcentrum Woensel;Parkeerplaats;1;5,476643343;51,46987351;"51,4698735084;5,47664334263"
495;Winkelcentrum Woensel;Parkeerplaats;1;5,476673494;51,46987349;"51,4698734853;5,47667349417"
497;Winkelcentrum Woensel;Parkeerplaats;1;5,476737338;51,46987344;"51,4698734362;5,47673733772"
502;Winkelcentrum Woensel;Parkeerplaats;1;5,476893385;51,46986999;"51,4698699903;5,4768933852"
506;Winkelcentrum Woensel;Parkeerplaats;1;5,477061855;51,46986765;"51,4698676492;5,47706185527"
511;Winkelcentrum Woensel;Parkeerplaats;1;5,477242725;51,46986196;"51,4698619635;5,47724272475"
513;Winkelcentrum Woensel;Parkeerplaats Vergunning;1;5,47769573;51,46975204;"51,4697520407;5,47769573002"
514;Winkelcentrum Woensel;Parkeerplaats;1;5,477730377;51,46975472;"51,4697547194;5,47773037719"
519;Winkelcentrum Woensel;Parkeerplaats;1;5,478057031;51,46959353;"51,4695935322;5,47805703053"
522;Winkelcentrum Woensel;Parkeerplaats;1;5,478165297;51,46959074;"51,4695907421;5,47816529656"
524;Winkelcentrum Woensel;Parkeerplaats;1;5,478223754;51,46958934;"51,4695893391;5,47822375438"
526;Winkelcentrum Woensel;Parkeerplaats;1;5,478280053;51,46958795;"51,4695879468;5,4782800534"
528;Winkelcentrum Woensel;Parkeerplaats Gehandicapten;1;5,478167744;51,46973544;"51,4697354395;5,47816774428"
530;Winkelcentrum Woensel;Parkeerplaats;1;5,477767085;51,46970059;"51,4697005881;5,47776708465"
531;Winkelcentrum Woensel;Parkeerplaats;1;5,477808232;51,46970056;"51,4697005561;5,47780823164"
532;Winkelcentrum Woensel;Parkeerplaats;1;5,477849376;51,46969918;"51,4696991758;5,47784937594"
533;Winkelcentrum Woensel;Parkeerplaats;1;5,477892679;51,46969778;"51,4696977848;5,47789267903"
536;Winkelcentrum Woensel;Parkeerplaats;1;5,477979288;51,46969637;"51,469696369;5,47797928794"
461;Winkelcentrum Woensel;Parkeerplaats Gehandicapten;1;5,477303109;51,46990291;"51,4699029051;5,47730310888"
464;Winkelcentrum Woensel;Parkeerplaats Gehandicapten;1;5,477311867;51,46984862;"51,4698486248;5,47731186711"
465;Winkelcentrum Woensel;Parkeerplaats;1;5,476451922;51,46992238;"51,4699223828;5,47645192182"
466;Winkelcentrum Woensel;Parkeerplaats;1;5,476485614;51,46992236;"51,469922357;5,47648561386"
467;Winkelcentrum Woensel;Parkeerplaats;1;5,476513976;51,46992012;"51,469920124;5,47651397648"
469;Winkelcentrum Woensel;Parkeerplaats;1;5,476565416;51,46992119;"51,4699211901;5,47656541622"
475;Winkelcentrum Woensel;Parkeerplaats;1;5,476764017;51,4699155;"51,4699155006;5,47676401714"
479;Winkelcentrum Woensel;Parkeerplaats;1;5,47688993;51,46991318;"51,4699131835;5,47688992976"
486;Winkelcentrum Woensel;Parkeerplaats;1;5,477178969;51,46990632;"51,4699063179;5,47717896872"
487;Winkelcentrum Woensel;Parkeerplaats;1;5,477221522;51,46990407;"51,4699040738;5,47722152195"
539;Winkelcentrum Woensel;Parkeerplaats;1;5,478076717;51,46969359;"51,4696935875;5,47807671698"
546;Winkelcentrum Woensel;Parkeerplaats;1;5,477920932;51,46974916;"51,4697491599;5,4779209323"
547;Winkelcentrum Woensel;Parkeerplaats;1;5,477951242;51,46974914;"51,4697491363;5,47795124207"
610;St Trudoplein;Parkeerplaats;1;5,45387029;51,44120384;"51,4412038443;5,45387028972"
613;St Trudoplein;Parkeerplaats;1;5,454231525;51,44129444;"51,4412944403;5,45423152458"
614;St Trudoplein;Parkeerplaats;1;5,454316431;51,44131597;"51,4413159732;5,45431643102"
615;St Trudoplein;Parkeerplaats;1;5,454415722;51,44133839;"51,4413383875;5,45441572197"
616;St Trudoplein;Parkeerplaats;1;5,454497747;51,44135633;"51,4413563264;5,45449774665"
626;St Trudoplein;Parkeerplaats;1;5,453303152;51,44097671;"51,4409767097;5,45330315205"
628;St Trudoplein;Parkeerplaats;1;5,453470101;51,44101977;"51,4410197693;5,45347010071"
632;Strijpsestraat;Parkeerplaats;1;5,455528893;51,44128296;"51,4412829621;5,45552889338"
633;Strijpsestraat;Parkeerplaats;1;5,455660443;51,44125547;"51,4412554694;5,45566044325"
634;Strijpsestraat;Parkeerplaats Gehandicapten;1;5,455765695;51,44123348;"51,441233475;5,45576569455"
637;Strijpsestraat;Parkeerplaats;1;5,456084296;51,44113899;"51,4411389867;5,45608429579"
638;Strijpsestraat;Parkeerplaats;1;5,45601415;51,44115803;"51,4411580303;5,45601414951"
641;Strijpsestraat;Parkeerplaats;1;5,456458464;51,44103934;"51,4410393409;5,45645846396"
642;Strijpsestraat;Parkeerplaats;1;5,456559019;51,44101296;"51,4410129622;5,45655901883"
644;Strijpsestraat;Parkeerplaats;1;5,456718043;51,44096901;"51,4409690116;5,45671804258"
646;Freddy van Riemsdijkweg;Parkeerplaats;1;5,393168201;51,45804566;"51,4580456553;5,3931682015"
648;Freddy van Riemsdijkweg;Parkeerplaats;1;5,393329526;51,4580636;"51,4580635969;5,39332952598"
650;Freddy van Riemsdijkweg;Parkeerplaats;1;5,393504117;51,4580843;"51,458084297;5,39350411703"
653;Freddy van Riemsdijkweg;Parkeerplaats;1;5,394515564;51,45819615;"51,4581961531;5,39451556422"
656;Freddy van Riemsdijkweg;Parkeerplaats;1;5,394804546;51,4582283;"51,4582282953;5,39480454596"
657;Freddy van Riemsdijkweg;Parkeerplaats;1;5,394895885;51,45823867;"51,458238671;5,39489588526"
659;Freddy van Riemsdijkweg;Parkeerplaats;1;5,395047024;51,45825422;"51,4582542199;5,3950470237"
663;Freddy van Riemsdijkweg;Parkeerplaats;1;5,395704652;51,45797923;"51,4579792269;5,39570465227"
665;Freddy van Riemsdijkweg;Parkeerplaats;1;5,395809272;51,4579149;"51,4579148961;5,39580927203"
551;Winkelcentrum Woensel;Parkeerplaats;1;5,478078993;51,46974497;"51,4697449738;5,47807899268"
552;Winkelcentrum Woensel;Parkeerplaats;1;5,478102812;51,46974496;"51,4697449552;5,47810281162"
554;Winkelcentrum Woensel;Parkeerplaats;1;5,477706747;51,46984264;"51,4698426378;5,47770674726"
562;Winkelcentrum Woensel;Parkeerplaats;1;5,478022871;51,46983563;"51,4698356322;5,47802287141"
579;Winkelcentrum Woensel;Parkeerplaats;1;5,47810958;51,46988425;"51,4698842471;5,4781095804"
580;Winkelcentrum Woensel;Parkeerplaats;1;5,478150725;51,46988287;"51,4698828667;5,47815072486"
591;Winkelcentrum Woensel;Parkeerplaats;1;5,478055635;51,46997625;"51,4699762521;5,47805563492"
594;Winkelcentrum Woensel;Parkeerplaats;1;5,478153065;51,46997347;"51,4699734705;5,47815306455"
600;St Trudoplein;Parkeerplaats;1;5,455667801;51,4415867;"51,4415866975;5,45566780084"
605;St Trudoplein;Parkeerplaats;1;5,455095018;51,4415187;"51,4415187013;5,45509501781"
607;St Trudoplein;Parkeerplaats Gehandicapten;1;5,454907908;51,44146127;"51,4414612739;5,45490790803"
669;Freddy van Riemsdijkweg;Parkeerplaats;1;5,396232711;51,45765444;"51,4576544434;5,39623271143"
672;Freddy van Riemsdijkweg;Parkeerplaats;1;5,396390459;51,4575569;"51,4575569037;5,39639045864"
675;Freddy van Riemsdijkweg;Parkeerplaats;1;5,396780687;51,45731305;"51,4573130538;5,39678068718"
676;Freddy van Riemsdijkweg;Parkeerplaats;1;5,396828852;51,45728089;"51,4572808882;5,39682885182"
677;Freddy van Riemsdijkweg;Parkeerplaats;1;5,396877003;51,45725183;"51,4572518328;5,39687700265"
679;Freddy van Riemsdijkweg;Parkeerplaats;1;5,396976627;51,45718854;"51,457188535;5,39697662668"
680;Freddy van Riemsdijkweg;Parkeerplaats;1;5,397033092;51,45715325;"51,4571532496;5,39703309229"
681;Freddy van Riemsdijkweg;Parkeerplaats;1;5,397087889;51,45712108;"51,4571210834;5,39708788947"
710;Beatrix de Rijkweg;Parkeerplaats;1;5,398263694;51,45705509;"51,4570550878;5,39826369373"
